place,percent,country,artist,song,video,date
1,16,Ukraine,Tvorchi,Heart of Steel,realise,2023-02-04
2,10,Sweden,none,none,none,2023-02-04
3,7,Finland,none,none,none,2023-02-04
4,6,Italy,none,none,none,2023-02-04
5,5,Czech Republic,none,none,none,2023-02-04
6,5,United Kingdom,none,none,none,2023-02-04
7,3,France,La Zarra,none,none,2023-02-04
8,3,Netherlands,Mia Nicolai & Dion Cooper,none,none,2023-02-04
9,3,Australia,none,none,none,2023-02-04
10,3,Israel,none,none,none,2023-02-04
11,3,Spain,none,none,none,2023-02-04
12,3,Norway,none,none,none,2023-02-04
13,3,Ireland,Wild Youth,We Are One,realise,2023-02-04
14,3,Armenia,Brunette,none,none,2023-02-04
15,2,Poland,none,none,none,2023-02-04
16,2,Switzerland,none,none,none,2023-02-04
17,2,Estonia,none,none,none,2023-02-04
18,2,Serbia,none,none,none,2023-02-04
19,2,Lithuania,none,none,none,2023-02-04
20,2,Portugal,none,none,none,2023-02-04
21,2,Georgia,Iru Khechanovi,none,none,2023-02-04
22,1,Germany,none,none,none,2023-02-04
23,1,Greece,none,none,none,2023-02-04
24,1,Azerbaijan,none,none,none,2023-02-04
25,1,Cyprus,Andrew Lambrou,none,none,2023-02-04
26,1,Austria,Teya & Salena,none,none,2023-02-04
27,1,Iceland,none,none,none,2023-02-04
28,1,Denmark,none,none,none,2023-02-04
29,1,Moldova,none,none,none,2023-02-04
30,1,Croatia,none,none,none,2023-02-04
31,1,San Marino,none,none,none,2023-02-04
32,1,Belgium,Gustaph,Because of You,realise,2023-02-04
33,1,Slovenia,none,none,none,2023-02-04
34,1,Latvia,none,none,none,2023-02-04
35,1,Malta,none,none,none,2023-02-04
36,0.5,Romania,none,none,none,2023-02-04
37,0.5,Albania,Albina & Familja Kelmendi,Duje,realise,2023-02-04
1,16,Ukraine,Tvorchi,Heart of Steel,realise,2023-02-05
2,10,Sweden,none,none,none,2023-02-05
3,7,Finland,none,none,none,2023-02-05
4,6,Italy,none,none,none,2023-02-05
5,6,Czech Republic,none,none,none,2023-02-05
6,5,United Kingdom,none,none,none,2023-02-05
7,4,Norway,Alessandra,Queen of Kings,realise,2023-02-05
8,4,France,La Zarra,none,none,2023-02-05
9,3,Netherlands,Mia Nicolai & Dion Cooper,none,none,2023-02-05
10,3,Israel,none,none,none,2023-02-05
11,3,Australia,none,none,none,2023-02-05
12,3,Spain,Blanca Paloma,Eaea,realise,2023-02-05
13,3,Armenia,Brunette,none,none,2023-02-05
14,2,Ireland,Wild Youth,We Are One,realise,2023-02-05
15,2,Poland,none,none,none,2023-02-05
16,2,Switzerland,none,none,none,2023-02-05
17,2,Estonia,none,none,none,2023-02-05
18,2,Serbia,none,none,none,2023-02-05
19,2,Georgia,Iru Khechanovi,none,none,2023-02-05
20,2,Lithuania,none,none,none,2023-02-05
21,1,Germany,none,none,none,2023-02-05
22,1,Portugal,none,none,none,2023-02-05
23,1,Greece,none,none,none,2023-02-05
24,1,Cyprus,Andrew Lambrou,none,none,2023-02-05
25,1,Azerbaijan,none,none,none,2023-02-05
26,1,Austria,Teya & Salena,none,none,2023-02-05
27,1,Denmark,none,none,none,2023-02-05
28,1,Iceland,none,none,none,2023-02-05
29,1,Moldova,none,none,none,2023-02-05
30,1,Croatia,none,none,none,2023-02-05
31,1,San Marino,none,none,none,2023-02-05
32,1,Latvia,none,none,none,2023-02-05
33,1,Slovenia,Joker Out,Carpe Diem,realise,2023-02-05
34,1,Belgium,Gustaph,Because of You,realise,2023-02-05
35,1,Malta,none,none,none,2023-02-05
